# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP9_2979,729250,729250,729250,710979.000000,97.490000,NA
Pacuta_ATAC_TP1_1775,Pacuta_HTAC_TP6_1744,729250,729250,729250,710949.000000,97.490000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTHC_TP4_1169,729250,729250,729250,710886.000000,97.480000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTHC_TP4_1169,729250,729250,729250,710904.000000,97.480000,NA
Pacuta_ATHC_TP8_2861,Pacuta_ATHC_TP9_2979,729250,729250,729250,710842.000000,97.480000,NA
Pacuta_HTAC_TP6_1744,Pacuta_HTAC_TP9_1486,729250,729250,729250,710833.500000,97.470000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTHC_TP3_2527,729250,729250,729250,710795.500000,97.470000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP3_1219,729250,729250,729250,710800.500000,97.470000,NA
Pacuta_HTHC_TP3_2527,Pacuta_HTHC_TP4_1169,729250,729250,729250,710709.500000,97.460000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTAC_TP8_1329,729250,729250,729250,710693.500000,97.460000,NA
Pacuta_ATHC_TP1_2977,Pacuta_ATHC_TP6_2999,729250,729250,729250,710735.000000,97.460000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTAC_TP5_1303,729250,729250,729250,710761.000000,97.460000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTAC_TP3_2026,729250,729250,729250,710705.000000,97.460000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTHC_TP11_1416,729250,729250,729250,710657.000000,97.450000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTHC_TP5_1168,729250,729250,729250,710548.500000,97.440000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTHC_TP11_1416,729250,729250,729250,710589.500000,97.440000,NA
Pacuta_ATHC_TP7_1281,Pacuta_ATHC_TP9_2979,729250,729250,729250,710570.000000,97.440000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTHC_TP4_1169,729250,729250,729250,710546.000000,97.440000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTHC_TP4_1169,729250,729250,729250,710577.000000,97.440000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTAC_TP5_1303,729250,729250,729250,710520.500000,97.430000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTAC_TP5_1303,729250,729250,729250,710505.500000,97.430000,NA
Pacuta_ATHC_TP3_1219,Pacuta_HTAC_TP3_2026,729250,729250,729250,710502.000000,97.430000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP9_2979,729250,729250,729250,710514.000000,97.430000,NA
Pacuta_HTAC_TP7_1487,Pacuta_HTHC_TP11_1416,729250,729250,729250,710436.500000,97.420000,NA
Pacuta_ATHC_TP1_2977,Pacuta_HTHC_TP11_1416,729250,729250,729250,710442.500000,97.420000,NA
Pacuta_ATHC_TP10_2197,Pacuta_ATHC_TP6_2999,729250,729250,729250,710422.500000,97.420000,NA
Pacuta_HTHC_TP11_1416,Pacuta_HTHC_TP5_1168,729250,729250,729250,710382.000000,97.410000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTAC_TP5_1303,729250,729250,729250,710350.500000,97.410000,NA
Pacuta_HTAC_TP5_1303,Pacuta_HTHC_TP3_2527,729250,729250,729250,710308.000000,97.400000,NA
Pacuta_ATHC_TP9_2979,Pacuta_HTAC_TP5_1571,729250,729250,729250,710284.500000,97.400000,NA
Pacuta_ATHC_TP10_2197,Pacuta_HTHC_TP3_2527,729250,729250,729250,710274.500000,97.400000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP9_2979,729250,729250,729250,710303.000000,97.400000,NA
Pacuta_HTAC_TP3_2026,Pacuta_HTHC_TP3_2527,729250,729250,729250,710245.500000,97.390000,NA
Pacuta_ATHC_TP6_2999,Pacuta_HTAC_TP3_2026,729250,729250,729250,710195.000000,97.390000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP9_2979,729250,729250,729250,710217.500000,97.390000,NA
