ind1	ind2	match_perc
Pacuta_HTAC_TP5_1303	Pacuta_ATHC_TP1_2977	97.540000
Pacuta_ATAC_TP1_1775	Pacuta_ATAC_TP6_1468	97.540000
Pacuta_ATAC_TP6_1468	Pacuta_ATAC_TP1_1775	97.540000
Pacuta_HTHC_TP11_1416	Pacuta_HTHC_TP4_1169	97.530000
Pacuta_HTHC_TP4_1169	Pacuta_HTHC_TP11_1416	97.530000
Pacuta_HTAC_TP3_2026	Pacuta_HTAC_TP7_1487	97.530000
Pacuta_HTAC_TP7_1487	Pacuta_HTAC_TP3_2026	97.530000
Pacuta_ATHC_TP3_1219	Pacuta_ATHC_TP7_1281	97.530000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP3_1219	97.530000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP6_2999	97.530000
Pacuta_ATHC_TP6_2999	Pacuta_ATAC_TP6_1050	97.530000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP3_1219	97.530000
Pacuta_ATHC_TP3_1219	Pacuta_ATAC_TP6_1050	97.530000
Pacuta_ATHC_TP7_1281	Pacuta_HTHC_TP3_2527	97.520000
Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP7_1281	97.520000
Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP3_2026	97.520000
Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP1_2977	97.520000
Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP3_2527	97.510000
Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP8_2861	97.510000
Pacuta_ATHC_TP6_2999	Pacuta_HTAC_TP7_1487	97.510000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP6_2999	97.510000
Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP7_1281	97.510000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP6_2999	97.510000
Pacuta_ATHC_TP5_2212	Pacuta_HTAC_TP9_1486	97.510000
Pacuta_HTAC_TP9_1486	Pacuta_ATHC_TP5_2212	97.510000
Pacuta_ATHC_TP11_2879	Pacuta_HTAC_TP3_2026	97.510000
Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP11_2879	97.510000
Pacuta_HTAC_TP7_1487	Pacuta_HTHC_TP3_2527	97.500000
Pacuta_HTHC_TP3_2527	Pacuta_HTAC_TP7_1487	97.500000
Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP7_1487	97.500000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP3_1219	97.500000
Pacuta_ATHC_TP1_2977	Pacuta_ATHC_TP3_1219	97.500000
