ind1	ind2	match_perc
Mcapitata_HTAC_TP4_1481	Mcapitata_HTHC_TP11_1178	86.160000
Mcapitata_HTHC_TP11_1178	Mcapitata_HTAC_TP4_1481	86.160000
Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP8_2410	86.160000
Mcapitata_HTAC_TP8_2410	Mcapitata_ATAC_TP5_1610	86.160000
Mcapitata_ATAC_TP5_1610	Mcapitata_ATHC_TP11_2756	86.160000
Mcapitata_ATHC_TP11_2756	Mcapitata_ATAC_TP5_1610	86.160000
Mcapitata_ATAC_TP1_1037	Mcapitata_ATHC_TP7_2860	86.160000
Mcapitata_ATHC_TP7_2860	Mcapitata_ATAC_TP1_1037	86.160000
Mcapitata_HTHC_TP4_1124	Mcapitata_HTHC_TP6_1604	86.150000
Mcapitata_HTHC_TP6_1604	Mcapitata_HTHC_TP4_1124	86.150000
Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP5_1345	86.150000
Mcapitata_HTHC_TP5_1345	Mcapitata_HTAC_TP8_2410	86.150000
Mcapitata_ATHC_TP7_2860	Mcapitata_HTAC_TP7_1278	86.150000
Mcapitata_HTAC_TP7_1278	Mcapitata_ATHC_TP7_2860	86.150000
Mcapitata_ATHC_TP6_2555	Mcapitata_HTAC_TP5_1321	86.150000
Mcapitata_HTAC_TP5_1321	Mcapitata_ATHC_TP6_2555	86.150000
Mcapitata_ATAC_TP9_1121	Mcapitata_ATHC_TP12_2990	86.150000
Mcapitata_ATHC_TP12_2990	Mcapitata_ATAC_TP9_1121	86.150000
Mcapitata_ATAC_TP1_1037	Mcapitata_ATHC_TP8_2735	86.150000
Mcapitata_ATHC_TP8_2735	Mcapitata_ATAC_TP1_1037	86.150000
Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP3_2518	86.140000
Mcapitata_HTHC_TP3_2518	Mcapitata_HTAC_TP8_2410	86.140000
Mcapitata_ATHC_TP10_1204	Mcapitata_HTHC_TP6_1604	86.140000
Mcapitata_HTHC_TP6_1604	Mcapitata_ATHC_TP10_1204	86.140000
Mcapitata_ATAC_TP8_1436	Mcapitata_ATHC_TP3_2731	86.140000
Mcapitata_ATHC_TP3_2731	Mcapitata_ATAC_TP8_1436	86.140000
Mcapitata_ATAC_TP6_2402	Mcapitata_HTAC_TP7_1645	86.140000
Mcapitata_HTAC_TP7_1645	Mcapitata_ATAC_TP6_2402	86.140000
Mcapitata_ATAC_TP4_1609	Mcapitata_ATHC_TP5_2986	86.140000
Mcapitata_ATHC_TP5_2986	Mcapitata_ATAC_TP4_1609	86.140000
Mcapitata_HTHC_TP5_1694	Mcapitata_HTHC_TP8_1082	86.130000
