# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_ATAC_TP8_1436,Mcapitata_ATHC_TP3_2731,515952,515952,515952,444425.000000,86.140000,NA
Mcapitata_ATAC_TP6_2402,Mcapitata_HTAC_TP7_1645,515952,515952,515952,444437.500000,86.140000,NA
Mcapitata_ATAC_TP4_1609,Mcapitata_ATHC_TP5_2986,515952,515952,515952,444439.000000,86.140000,NA
Mcapitata_HTHC_TP5_1694,Mcapitata_HTHC_TP8_1082,515952,515952,515952,444400.000000,86.130000,NA
Mcapitata_HTHC_TP3_1277,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444408.500000,86.130000,NA
Mcapitata_HTAC_TP1_1579,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444368.000000,86.130000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTAC_TP1_2153,515952,515952,515952,444386.000000,86.130000,NA
Mcapitata_ATHC_TP7_2860,Mcapitata_HTAC_TP5_1321,515952,515952,515952,444373.500000,86.130000,NA
Mcapitata_ATHC_TP5_1706,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444379.000000,86.130000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_HTAC_TP7_1645,515952,515952,515952,444413.000000,86.130000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTAC_TP4_1481,515952,515952,515952,444391.500000,86.130000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_ATAC_TP7_1499,515952,515952,515952,444407.500000,86.130000,NA
Mcapitata_ATAC_TP3_1101,Mcapitata_HTHC_TP12_2190,515952,515952,515952,444400.500000,86.130000,NA
Mcapitata_ATAC_TP1_1652,Mcapitata_HTHC_TP1_1145,515952,515952,515952,444384.500000,86.130000,NA
Mcapitata_HTHC_TP6_1604,Mcapitata_HTHC_TP8_2067,515952,515952,515952,444335.000000,86.120000,NA
Mcapitata_HTHC_TP12_2190,Mcapitata_HTHC_TP4_1328,515952,515952,515952,444316.500000,86.120000,NA
Mcapitata_HTAC_TP5_1997,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444354.500000,86.120000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP11_2511,515952,515952,515952,444319.000000,86.120000,NA
Mcapitata_HTAC_TP4_1481,Mcapitata_HTHC_TP6_1604,515952,515952,515952,444356.500000,86.120000,NA
